ID     EC,ID NAPS
CGSS,50122
CGTQ,50136
CGTZ,50137
CGVI,55702
CGYK,50138
CMAC,55301
CMAJ,50133
CMAO,50404
CMAU,52801
CMAV,50113
CMBC,54703
CMBE,55101
CMCA,53401
CMCG,50310
CMCR,52001
CMDD,50109
CMDE,53301
CMDI,54901
CMDR,50105
CMDS,50308
CMED,53901
CMFA,52301
CMFB,50135
CMFC,
CMFP,50803
CMFR,53501
CMHI,53701
CMHO,50131
CMHU,50204
CMIL,50119
CMJB,50103
CMJH,50116
CMJM,50134
CMLU,55201
CMMS,55001
CMMV,50115
CMND,53601
CMNY,55701
CMOC,50121
CMOY,55401
CMPC,52401
CMPE,53201
CMPV,50311
CMPZ,
CMRD,50129
CMRQ,
CMSH,51201
CMSK,54801
CMSS,52201
CMTE,52701
CMTI,53801
CMTP,50604
CMUC,50504
CMUL,50128
CMVQ,50126
CMZE,51501
CWBZ,54401
CWEW,54501
CWHM,52601
,
,
,
,
,
